Team1,Team2,Rounds,Stadium,City,Time,Day,Month,Year,Score1,Score2,Remarks
Romania,Tunisia,Group Phase,Stade de France,Saint-Denis,21:00,26,6,1998,1,1,
Colombia,England,Group Phase,Stade Felix Bollaert,Lens,21:00,26,6,1998,0,2,
Italy,Norway,Round of 16,Stade Vélodrome,Marseilles,16:30,27,6,1998,1,0,
Brazil,Chile,Round of 16,Parc des Princes,Paris,21:00,27,6,1998,4,1,
France,Paraguay,Round of 16,Stade Felix Bollaert,Lens,16:30,28,6,1998,1,0,France win after extra time
Nigeria,Denmark,Round of 16,Stade de France,Saint-Denis,21:00,28,6,1998,1,4,
Germany,Mexico,Round of 16,La Mosson,Montpellier,16:30,29,6,1998,2,1,
Netherlands,Yugoslavia,Round of 16,Stade Municipal,Toulouse,21:00,29,6,1998,2,1,
Romania,Croatia,Round of 16,Stade du Parc Lescure,Bordeaux,16:30,30,6,1998,0,1,
Argentina,England,Round of 16,Stade Geoffroy Guichard,Saint-Etienne,21:00,30,6,1998,2,2,Argentina win on penalties (4 - 3)
Italy,France,Quarter Finals,Stade de France,Saint-Denis,16:30,3,7,1998,0,0,France win on penalties (3 - 4)
Brazil,Denmark,Quarter Finals,La Beaujoire,Nantes,21:00,3,7,1998,3,2,
Netherlands,Argentina,Quarter Finals,Stade Vélodrome,Marseilles,16:30,4,7,1998,2,1,
Germany,Croatia,Quarter Finals,Stade de Gerland,Lyon,21:00,4,7,1998,0,3,
Brazil,Netherlands,Semi Finals,Stade Vélodrome,Marseilles,21:00,7,7,1998,1,1,Brazil win on penalties (4 - 2)
France,Croatia,Semi Finals,Stade de France,Saint-Denis,21:00,8,7,1998,2,1,
Netherlands,Croatia,Play-off for third place,Parc des Princes,Paris,21:00,11,7,1998,1,2,
Brazil,France,Finals,Stade de France,Saint-Denis,21:00,12,7,1998,0,3,
Spain,Korea Republic,Group Phase,Cotton Bowl,Dallas,19:30,17,6,1994,2,2,
Germany,Bolivia,Group Phase,Soldier Field,Chicago,15:00,17,6,1994,1,0,
USA,Switzerland,Group Phase,Pontiac Silverdome,Detroit,11:30,18,6,1994,1,1,
Italy,Republic of Ireland,Group Phase,Giants Stadium,New York/New Jersey,16:00,18,6,1994,0,1,
Colombia,Romania,Group Phase,Rose Bowl,Los Angeles,19:30,18,6,1994,1,3,
Belgium,Morocco,Group Phase,Citrus Bowl,Orlando,12:30,19,6,1994,1,0,
Norway,Mexico,Group Phase,RFK Stadium,Washington Dc,16:00,19,6,1994,1,0,
Cameroon,Sweden,Group Phase,Rose Bowl,Los Angeles,19:30,19,6,1994,2,2,
Netherlands,Saudi Arabia,Group Phase,RFK Stadium,Washington Dc,19:30,20,6,1994,2,1,
Brazil,Russia,Group Phase,Stanford Stadium,San Francisco,16:00,20,6,1994,2,0,
Argentina,Greece,Group Phase,Foxboro Stadium,Boston,12:30,21,6,1994,4,0,
Nigeria,Bulgaria,Group Phase,Cotton Bowl,Dallas,19:30,21,6,1994,3,0,
Germany,Spain,Group Phase,Soldier Field,Chicago,16:00,21,6,1994,1,1,
Romania,Switzerland,Group Phase,Pontiac Silverdome,Detroit,16:00,22,6,1994,1,4,
USA,Colombia,Group Phase,Rose Bowl,Los Angeles,19:30,22,6,1994,2,1,
Italy,Norway,Group Phase,Giants Stadium,New York/New Jersey,16:00,23,6,1994,1,0,
Korea Republic,Bolivia,Group Phase,Foxboro Stadium,Boston,19:30,23,6,1994,0,0,
Mexico,Republic of Ireland,Group Phase,Citrus Bowl,Orlando,12:30,24,6,1994,2,1,
Sweden,Russia,Group Phase,Pontiac Silverdome,Detroit,19:30,24,6,1994,3,1,
Brazil,Cameroon,Group Phase,Stanford Stadium,San Francisco,16:00,24,6,1994,3,0,
Belgium,Netherlands,Group Phase,Citrus Bowl,Orlando,12:30,25,6,1994,1,0,
Saudi Arabia,Morocco,Group Phase,Giants Stadium,New York/New Jersey,12:30,25,6,1994,2,1,
Argentina,Nigeria,Group Phase,Foxboro Stadium,Boston,16:00,25,6,1994,2,1,
Bulgaria,Greece,Group Phase,Soldier Field,Chicago,12:30,26,6,1994,4,0,
USA,Romania,Group Phase,Rose Bowl,Los Angeles,16:00,26,6,1994,0,1,
Switzerland,Colombia,Group Phase,Stanford Stadium,San Francisco,16:00,26,6,1994,0,2,
Germany,Korea Republic,Group Phase,Cotton Bowl,Dallas,16:00,27,6,1994,3,2,
Bolivia,Spain,Group Phase,Soldier Field,Chicago,16:00,27,6,1994,1,3,
Republic of Ireland,Norway,Group Phase,Giants Stadium,New York/New Jersey,12:30,28,6,1994,0,0,
Brazil,Sweden,Group Phase,Pontiac Silverdome,Detroit,16:00,28,6,1994,1,1,
Italy,Mexico,Group Phase,RFK Stadium,Washington Dc,12:30,28,6,1994,1,1,
Russia,Cameroon,Group Phase,Stanford Stadium,San Francisco,16:00,28,6,1994,6,1,
Morocco,Netherlands,Group Phase,Citrus Bowl,Orlando,12:30,29,6,1994,1,2,
Belgium,Saudi Arabia,Group Phase,RFK Stadium,Washington Dc,12:30,29,6,1994,0,1,
Greece,Nigeria,Group Phase,Foxboro Stadium,Boston,19:30,30,6,1994,0,2,
Argentina,Bulgaria,Group Phase,Cotton Bowl,Dallas,19:30,30,6,1994,0,2,
Germany,Belgium,Round of 16,Soldier Field,Chicago,12:00,2,7,1994,3,2,
Spain,Switzerland,Round of 16,RFK Stadium,Washington Dc,16:30,2,7,1994,3,0,
Saudi Arabia,Sweden,Round of 16,Cotton Bowl,Dallas,12:00,3,7,1994,1,3,
Romania,Argentina,Round of 16,Rose Bowl,Los Angeles,13:30,3,7,1994,3,2,
Netherlands,Republic of Ireland,Round of 16,Citrus Bowl,Orlando,12:00,4,7,1994,2,0,
Brazil,USA,Round of 16,Stanford Stadium,San Francisco,12:30,4,7,1994,1,0,
Nigeria,Italy,Round of 16,Foxboro Stadium,Boston,13:00,5,7,1994,1,2,Italy win after extra time
Mexico,Bulgaria,Round of 16,Giants Stadium,New York/New Jersey,16:30,5,7,1994,1,1,Bulgaria win on penalties (1 - 3)
Italy,Spain,Quarter Finals,Foxboro Stadium,Boston,12:00,9,7,1994,2,1,
Netherlands,Brazil,Quarter Finals,Cotton Bowl,Dallas,14:30,9,7,1994,2,3,
Bulgaria,Germany,Quarter Finals,Giants Stadium,New York/New Jersey,12:00,10,7,1994,2,1,
Romania,Sweden,Quarter Finals,Stanford Stadium,San Francisco,12:30,10,7,1994,2,2,Sweden win on penalties (4 - 5)
Bulgaria,Italy,Semi Finals,Giants Stadium,New York/New Jersey,16:00,13,7,1994,1,2,
Sweden,Brazil,Semi Finals,Rose Bowl,Los Angeles,16:30,13,7,1994,0,1,
Sweden,Bulgaria,Play-off for third place,Rose Bowl,Los Angeles,12:30,16,7,1994,4,0,
Brazil,Italy,Finals,Rose Bowl,Los Angeles,12:30,17,7,1994,0,0,Brazil win on penalties (3 - 2)
Spain,Korea Republic,Group Phase,Stadio Giuseppe Meazza,Milan,18:00,8,6,1990,0,1,
Soviet Union Romania,Soviet Union Romania,Group Phase,Stadio San Nicola,Bari,17:00,9,6,1990,0,2,
United Arab Emirates Colombia,United Arab Emirates Colombia,Group Phase,Renato Dall Ara,Bologna,17:00,9,6,1990,0,2,
Italy,Republic of Ireland,Group Phase,Stadio Olimpico,Rome,21:00,9,6,1990,1,0,
USA,Czechoslovakia,Group Phase,Comunale,Florence,17:00,10,6,1990,1,5,
Brazil,Sweden,Group Phase,Stadio delle Alpi,Turin,21:00,10,6,1990,2,1,
Germany FR Yugoslavia,Germany FR Yugoslavia,Group Phase,Giuseppe Meazza,Milan,21:00,10,6,1990,4,1,
Costa Rica Scotland,Costa Rica Scotland,Group Phase,Luigi Ferraris,Genoa,17:00,11,6,1990,1,0,
Netherlands,Saudi Arabia,Group Phase,Sant Elia,Cagliari,21:00,11,6,1990,1,1,
Belgium Korea Republic,Belgium Korea Republic,Group Phase,Marc Antonio Bentegodi,Verona,17:00,12,6,1990,2,0,
Netherlands,Egypt,Group Phase,Della Favorita,Palermo,21:00,12,6,1990,1,1,
Uruguay,Spain,Group Phase,Dacia Arena,Udine,17:00,13,6,1990,0,0,
Argentina Soviet Union,Argentina Soviet Union,Group Phase,San Paolo,Naples,21:00,13,6,1990,2,0,
Cameroon,Romania,Group Phase,Stadio San Nicola,Bari,17:00,14,6,1990,2,1,
Yugoslavia,Colombia,Group Phase,Renato Dall Ara,Bologna,17:00,14,6,1990,1,0,
Italy,USA,Group Phase,Stadio Olimpico,Rome,21:00,14,6,1990,1,0,
Korea Republic,Bolivia,Group Phase,Comunale,Florence,17:00,15,6,1990,0,1,
Mexico,Republic of Ireland,Group Phase,Stadio Giuseppe Meazza,Milan,21:00,15,6,1990,5,1,
Brazil Costa Rica,Brazil Costa Rica,Group Phase,Stadio delle Alpi,Turin,17:00,16,6,1990,1,0,
Sweden,Scotland,Group Phase,Luigi Ferraris,Genoa,21:00,16,6,1990,1,2,
England,Netherlands,Group Phase,Sant Elia,Cagliari,21:00,16,6,1990,0,0,
Saudi Arabia,Morocco,Group Phase,Della Favorita,Palermo,17:00,17,6,1990,0,0,
Korea Republic Spain,Korea Republic Spain,Group Phase,Dacia Arena,Udine,21:00,17,6,1990,1,3,
Belgium,Uruguay,Group Phase,Marc Antonio Bentegodi,Verona,21:00,17,6,1990,3,1,
Argentina,Romania,Group Phase,San Paolo,Naples,21:00,18,6,1990,1,1,
Cameroon Soviet Union,Cameroon Soviet Union,Group Phase,Stadio San Nicola,Bari,21:00,18,6,1990,0,4,
Germany,Korea Republic,Group Phase,Stadio Giuseppe Meazza,Milan,17:00,19,6,1990,1,1,
Yugoslavia United Arab Emirates,Yugoslavia United Arab Emirates,Group Phase,Renato Dall Ara,Bologna,17:00,19,6,1990,4,1,
Republic of Ireland,Norway,Group Phase,Stadio Olimpico,Rome,21:00,19,6,1990,2,0,
Austria,USA,Group Phase,Comunale,Florence,21:00,19,6,1990,2,1,
Brazil,Scotland,Group Phase,Stadio delle Alpi,Turin,21:00,20,6,1990,1,0,
Sweden Costa Rica,Sweden Costa Rica,Group Phase,Luigi Ferraris,Genoa,21:00,20,6,1990,1,2,
Korea Republic Uruguay,Korea Republic Uruguay,Group Phase,Dacia Arena,Udine,17:00,21,6,1990,0,1,
Belgium,Saudi Arabia,Group Phase,Marc Antonio Bentegodi,Verona,17:00,21,6,1990,1,2,
Republic of Ireland Netherlands,Republic of Ireland Netherlands,Group Phase,Della Favorita,Palermo,21:00,21,6,1990,1,1,
England,Egypt,Group Phase,Sant Elia,Cagliari,21:00,21,6,1990,1,0,
Cameroon,Colombia,Round of 16,San Paolo,Naples,17:00,23,6,1990,2,1,Cameroon win after extra time
Czechoslovakia Costa Rica,Czechoslovakia Costa Rica,Round of 16,Stadio San Nicola,Bari,21:00,23,6,1990,4,1,
Saudi Arabia,Sweden,Round of 16,Stadio delle Alpi,Turin,17:00,24,6,1990,0,1,
Germany FR Netherlands,Germany FR Netherlands,Round of 16,Stadio Giuseppe Meazza,Milan,21:00,24,6,1990,2,1,
Netherlands,Republic of Ireland,Round of 16,Luigi Ferraris,Genoa,17:00,25,6,1990,0,0,Republic of Ireland win on penalties (5 - 4)
Italy,Uruguay,Round of 16,Stadio Olimpico,Rome,21:00,25,6,1990,2,0,
Spain,Yugoslavia,Round of 16,Marc Antonio Bentegodi,Verona,17:00,26,6,1990,1,2,Yugoslavia win after extra time
England,Belgium,Round of 16,Renato Dall Ara,Bologna,21:00,26,6,1990,1,0,England win after extra time
Yugoslavia,Argentina,Quarter Finals,Comunale,Florence,17:00,30,6,1990,0,0,Argentina win on penalties (2 - 3)
Italy Republic of Ireland,Italy Republic of Ireland,Quarter Finals,Stadio Olimpico,Rome,21:00,30,6,1990,1,0,
Germany FR Czechoslovakia,Germany FR Czechoslovakia,Quarter Finals,Stadio Giuseppe Meazza,Milan,17:00,1,7,1990,1,0,
England,Cameroon,Quarter Finals,San Paolo,Naples,21:00,1,7,1990,3,2,England win after extra time
Italy,Argentina,Semi Finals,San Paolo,Naples,20:00,3,7,1990,1,1,Argentina win on penalties (3 - 4)
Germany FR England,Germany FR England,Semi Finals,Stadio delle Alpi,Turin,20:00,4,7,1990,1,1,Germany FR win on penalties (4 - 3)
Italy,England,Play-off for third place,Stadio San Nicola,Bari,20:00,7,7,1990,2,1,
Germany FR Argentina,Germany FR Argentina,Finals,Stadio Olimpico,Rome,20:00,8,7,1990,1,0,
Bulgaria,Italy,Group Phase,Estadio Azteca,Mexico City,12:00,31,5,1986,1,1,
Canada,France,Group Phase,Nou Camp - Estadio León,Leon,16:00,1,6,1986,0,1,
Spain,Brazil,Group Phase,Jalisco,Guadalajara,12:00,1,6,1986,0,1,
Soviet Union,Hungary,Group Phase,Estadio Irapuato,Irapuato,12:00,2,6,1986,6,0,
Argentina,Korea Republic,Group Phase,Estadio Olímpico Universitario,Mexico City,12:00,2,6,1986,3,1,
Morocco,Poland,Group Phase,Estadio Universitario,Monterrey,16:00,2,6,1986,0,0,
Algeria,Northern Ireland,Group Phase,Tres de Marzo,Guadalajara,12:00,3,6,1986,1,1,
Belgium,Mexico,Group Phase,Estadio Azteca,Mexico City,12:00,3,6,1986,1,2,
Portugal,England,Group Phase,Tecnologico,Monterrey,16:00,3,6,1986,1,0,
Paraguay,Iraq,Group Phase,Bombonera - Estadio Nemesio Diez,Toluca,12:00,4,6,1986,1,0,
Scotland,Denmark,Group Phase,Neza,Nezahualcoyotl,16:00,4,6,1986,0,1,
Uruguay,Germany FR,Group Phase,Estadio Corregidora,Queretaro,12:00,4,6,1986,1,1,
Italy,Argentina,Group Phase,Cuauhtemoc,Puebla,12:00,5,6,1986,1,1,
France,Soviet Union,Group Phase,Nou Camp - Estadio León,Leon,12:00,5,6,1986,1,1,
Korea Republic,Bulgaria,Group Phase,Estadio Olímpico Universitario,Mexico City,16:00,5,6,1986,1,1,
Hungary,Canada,Group Phase,Estadio Irapuato,Irapuato,12:00,6,6,1986,2,0,
Brazil,Algeria,Group Phase,Jalisco,Guadalajara,12:00,6,6,1986,1,0,
England,Morocco,Group Phase,Tecnologico,Monterrey,16:00,6,6,1986,0,0,
Northern Ireland,Spain,Group Phase,Tres de Marzo,Guadalajara,12:00,7,6,1986,1,2,
Mexico,Paraguay,Group Phase,Estadio Azteca,Mexico City,12:00,7,6,1986,1,1,
Poland,Portugal,Group Phase,Estadio Universitario,Monterrey,16:00,7,6,1986,1,0,
Iraq,Belgium,Group Phase,Bombonera - Estadio Nemesio Diez,Toluca,12:00,8,6,1986,1,2,
Denmark,Uruguay,Group Phase,Neza,Nezahualcoyotl,16:00,8,6,1986,6,1,
Germany FR,Scotland,Group Phase,Estadio Corregidora,Queretaro,12:00,8,6,1986,2,1,
Hungary,France,Group Phase,Nou Camp - Estadio León,Leon,12:00,9,6,1986,0,3,
Soviet Union,Canada,Group Phase,Estadio Irapuato,Irapuato,12:00,9,6,1986,2,0,
Korea Republic,Italy,Group Phase,Cuauhtemoc,Puebla,12:00,10,6,1986,2,3,
Argentina,Bulgaria,Group Phase,Estadio Olímpico Universitario,Mexico City,12:00,10,6,1986,2,0,
Paraguay,Belgium,Group Phase,Bombonera - Estadio Nemesio Diez,Toluca,12:00,11,6,1986,2,2,
Iraq,Mexico,Group Phase,Estadio Azteca,Mexico City,12:00,11,6,1986,0,1,
Portugal,Morocco,Group Phase,Tres de Marzo,Guadalajara,16:00,11,6,1986,1,3,
England,Poland,Group Phase,Tecnologico,Monterrey,16:00,11,6,1986,3,0,
Northern Ireland,Brazil,Group Phase,Jalisco,Guadalajara,12:00,12,6,1986,0,3,
Algeria,Spain,Group Phase,Tecnologico,Monterrey,12:00,12,6,1986,0,3,
Scotland,Uruguay,Group Phase,Neza,Nezahualcoyotl,12:00,13,6,1986,0,0,
Denmark,Germany FR,Group Phase,Estadio Corregidora,Queretaro,12:00,13,6,1986,2,0,
Soviet Union,Belgium,Round of 16,Nou Camp - Estadio León,Leon,16:00,15,6,1986,3,4,Belgium win after extra time
Mexico,Bulgaria,Round of 16,Estadio Azteca,Mexico City,12:00,15,6,1986,2,0,
Argentina,Uruguay,Round of 16,Cuauhtemoc,Puebla,16:00,16,6,1986,1,0,
Brazil,Poland,Round of 16,Jalisco,Guadalajara,12:00,16,6,1986,4,0,
Italy,France,Round of 16,Estadio Olímpico Universitario,Mexico City,12:00,17,6,1986,0,2,
Morocco,Germany FR,Round of 16,Estadio Universitario,Monterrey,16:00,17,6,1986,0,1,
England,Paraguay,Round of 16,Estadio Azteca,Mexico City,12:00,18,6,1986,3,0,
Denmark,Spain,Round of 16,Estadio Corregidora,Queretaro,16:00,18,6,1986,1,5,
Brazil,France,Quarter Finals,Jalisco,Guadalajara,12:00,21,6,1986,1,1,France win on penalties (3 - 4)
Germany FR,Mexico,Quarter Finals,Estadio Universitario,Monterrey,16:00,21,6,1986,0,0,Germany FR win on penalties (4 - 1)
Spain,Belgium,Quarter Finals,Cuauhtemoc,Puebla,16:00,22,6,1986,1,1,Belgium win on penalties (4 - 5)
Argentina,England,Quarter Finals,Estadio Azteca,Mexico City,12:00,22,6,1986,2,1,
France,Germany FR,Semi Finals,Jalisco,Guadalajara,12:00,25,6,1986,0,2,
Argentina,Belgium,Semi Finals,Estadio Azteca,Mexico City,16:00,25,6,1986,2,0,
France,Belgium,Play-off for third place,Cuauhtemoc,Puebla,12:00,28,6,1986,4,2,France win after extra time
Argentina,Germany FR,Finals,Estadio Azteca,Mexico City,12:00,29,6,1986,3,2,
Argentina,Belgium,Group Phase,Camp Nou,Barcelona,20:00,13,6,1982,0,1,
Italy,Poland,Group Phase,Estadio Municipal de Balaídos,Vigo,17:15,14,6,1982,0,0,
Brazil,Soviet Union,Group Phase,Ramon Sanchez Pizjuan,Seville,21:00,14,6,1982,2,1,
Peru,Cameroon,Group Phase,Riazor,La CoruñA,17:15,15,6,1982,0,0,
Hungary,El Salvador,Group Phase,Nuevo Estadio,Elche,21:00,15,6,1982,10,1,
Scotland,New Zealand,Group Phase,La Rosaleda,Malaga,21:00,15,6,1982,5,2,
Germany FR,Algeria,Group Phase,El Molinon,Gijon,17:15,16,6,1982,1,2,
England,France,Group Phase,San Mames,Bilbao,17:15,16,6,1982,3,1,
Spain,Honduras,Group Phase,Luis Casanova,Valencia,21:00,16,6,1982,1,1,
Chile,Austria,Group Phase,Carlos Tartiere,Oviedo,17:15,17,6,1982,0,1,
Czechoslovakia,Kuwait,Group Phase,Jose Zorrilla,Valladolid,17:45,17,6,1982,1,1,
Yugoslavia,Northern Ireland,Group Phase,La Romareda,Zaragoza,21:00,17,6,1982,0,0,
Italy,Peru,Group Phase,Estadio Municipal de Balaídos,Vigo,17:15,18,6,1982,1,1,
Argentina,Hungary,Group Phase,Jose Rico Perez,Alicante,21:00,18,6,1982,4,1,
Brazil,Scotland,Group Phase,Benito Villamarin,Seville,21:00,18,6,1982,4,1,
Poland,Cameroon,Group Phase,Riazor,La CoruñA,19:15,19,6,1982,0,0,
Belgium,El Salvador,Group Phase,Nuevo Estadio,Elche,21:00,19,6,1982,1,0,
Soviet Union,New Zealand,Group Phase,La Rosaleda,Malaga,21:00,19,6,1982,3,0,
Germany FR,Chile,Group Phase,El Molinon,Gijon,17:15,20,6,1982,4,1,
England,Czechoslovakia,Group Phase,San Mames,Bilbao,17:15,20,6,1982,2,0,
Spain,Yugoslavia,Group Phase,Luis Casanova,Valencia,21:00,20,6,1982,2,1,
Algeria,Austria,Group Phase,Carlos Tartiere,Oviedo,17:15,21,6,1982,0,2,
France,Kuwait,Group Phase,Jose Zorrilla,Valladolid,17:15,21,6,1982,4,1,
Honduras,Northern Ireland,Group Phase,La Romareda,Zaragoza,21:00,21,6,1982,1,1,
Poland,Peru,Group Phase,Riazor,La CoruñA,17:15,22,6,1982,5,1,
Belgium,Hungary,Group Phase,Nuevo Estadio,Elche,21:00,22,6,1982,1,1,
Soviet Union,Scotland,Group Phase,La Rosaleda,Malaga,21:00,22,6,1982,2,2,
Italy,Cameroon,Group Phase,Estadio Municipal de Balaídos,Vigo,17:15,23,6,1982,1,1,
Argentina,El Salvador,Group Phase,Jose Rico Perez,Alicante,21:00,23,6,1982,2,0,
Brazil,New Zealand,Group Phase,Benito Villamarin,Seville,21:00,23,6,1982,4,0,
Algeria,Chile,Group Phase,Carlos Tartiere,Oviedo,17:15,24,6,1982,3,2,
France,Czechoslovakia,Group Phase,Jose Zorrilla,Valladolid,17:15,24,6,1982,1,1,
Honduras,Yugoslavia,Group Phase,La Romareda,Zaragoza,21:00,24,6,1982,0,1,
Germany FR,Austria,Group Phase,El Molinon,Gijon,17:15,25,6,1982,1,0,
England,Kuwait,Group Phase,San Mames,Bilbao,17:15,25,6,1982,1,0,
Northern Ireland,Spain,Group Phase,Luis Casanova,Valencia,21:00,25,6,1982,1,0,
Austria,France,Round of 16,Vicente Calderon,Madrid,17:15,28,6,1982,0,1,
Poland,Belgium,Round of 16,Camp Nou,Barcelona,21:00,28,6,1982,3,0,
Italy,Argentina,Round of 16,Sarria,Barcelona,17:15,29,6,1982,2,1,
Germany FR,England,Round of 16,Santiago Bernabeu,Madrid,21:00,29,6,1982,0,0,
Austria,Northern Ireland,Round of 16,Vicente Calderon,Madrid,17:15,1,7,1982,2,2,
Belgium,Soviet Union,Round of 16,Camp Nou,Barcelona,21:00,1,7,1982,0,1,
Argentina,Brazil,Round of 16,Sarria,Barcelona,17:15,2,7,1982,1,3,
Germany FR,Spain,Round of 16,Santiago Bernabeu,Madrid,21:00,2,7,1982,2,1,
France,Northern Ireland,Quarter Finals,Vicente Calderon,Madrid,17:15,4,7,1982,4,1,
Poland,Soviet Union,Quarter Finals,Camp Nou,Barcelona,21:00,4,7,1982,0,0,
Italy,Brazil,Quarter Finals,Sarria,Barcelona,17:15,5,7,1982,3,2,
Spain,England,Quarter Finals,Santiago Bernabeu,Madrid,21:00,5,7,1982,0,0,
Poland,Italy,Semi Finals,Camp Nou,Barcelona,17:15,8,7,1982,0,2,
Germany FR,France,Semi Finals,Ramon Sanchez Pizjuan,Seville,21:00,8,7,1982,3,3,Germany FR win on penalties (5 - 4)
Poland,France,Play-off for third place,Jose Rico Perez,Alicante,20:00,10,7,1982,3,2,
Italy,Germany FR,Finals,Santiago Bernabeu,Madrid,20:00,11,7,1982,3,1,
